N,P,Fe,gNm1,gPm1,gFem1,dop,don,gDNm1,pop,pon,pofe,B,F,gBm1,gFm1,ro,prodB,prodN,fS,QnS,QnL,prodP,Jb,prodFe,mortB,QnQpS,QnQpL,QpS,QpL,muL,muS,JmuS
0.261733049313576,0.180571843153298,0.000605608920576847,6.34435706414767,0.71911342142777,0,1.94391969283012e-06,2.00903735326046e-05,0.00547931226469159,5.0572320318157e-06,5.21874278510684e-05,0,0.000156550390947886,3.69776532628299e-08,0.0397749378003401,4.6493603795962e-06,10.358791371825,0.0429329813126664,0.443984183182844,0.47044404801723,0.101674753463737,0.101514785678267,0.0429375194236049,0.0378765972192818,1.28812558270815e-05,0.00505638409338463,10.5929177762094,10.150799424961,0.00959837087493384,0.0100006690535762,331.720745418082,294.692278882842,0.134441151989755
0.264877657370846,0.18092874358149,0.000605875445586664,6.28921611454128,0.713800856383383,0,2.24778121920703e-06,2.32404810486287e-05,0.00630021503204805,5.83235562518839e-06,6.02275229878502e-05,0,0.000179338203843983,3.94609457209181e-08,0.045575625792195,4.96658491617643e-06,10.3762512947744,0.0492039324851151,0.509693271286669,0.470437093867606,0.101761821400797,0.101596464198619,0.04920878011083,0.0434003677952494,1.4762634033249e-05,0.00580356468986567,10.6208827268676,10.158933014642,0.00958129602009167,0.0100007022442404,331.88163129158,294.826975841502,0.13469695866031
0.267989652576965,0.181282506584594,0.000606140542993301,6.22399041223715,0.707526006209228,0,2.59668249183525e-06,2.68636663411975e-05,0.00724637058513765,6.72174384337344e-06,6.94698955127473e-05,0,0.000205449188532811,4.21138054378125e-08,0.0522219693776557,5.30571943378877e-06,10.3937100994039,0.0563928528023912,0.585146411906833,0.47043014653163,0.101849348124807,0.1016788260297,0.0563980313463808,0.0497295905331079,1.69194094039142e-05,0.00666326226928326,10.648769097282,10.1671348120076,0.00956442450712943,0.0100007354982266,332.042792650696,294.961917825196,0.13494198369332
0.271063769271891,0.181632640665396,0.000606404075550239,6.14823338985156,0.700268161604268,0,2.99744638358924e-06,3.10325163322649e-05,0.00833769998213488,7.7427902640093e-06,8.00998887513119e-05,0,0.000235367464470843,4.49479717839827e-08,0.0598365518760639,5.66833269234036e-06,10.4111667467425,0.0646340745984116,0.671787833919137,0.47042320497139,0.101937321954131,0.101761857839353,0.064639606951132,0.0569810834391608,1.93918820853396e-05,0.0076529911592508,10.6765761734836,10.1754034838329,0.00954775391452762,0.0100007688148225,332.204240535992,295.097113402761,0.13519557756507
0.274093657512571,0.181978547488578,0.000606665858184041,6.05977648135986,0.691813646363303,0,3.45796907886717e-06,3.58311222484509e-05,0.00959721183237203,8.91563843199215e-06,9.23322473244019e-05,0,0.000269647162502355,4.79759876014583e-08,0.0685593960630232,6.05603163495117e-06,10.4286200952192,0.0740814826886681,0.771274669117642,0.470416268795468,0.10202573052177,0.101845544980988,0.0740873933331995,0.0652883294929135,2.22262179999599e-05,0.00879315319575456,10.7043031707109,10.1837375655994,0.00953128184942787,0.0100008021931969,332.36597199851,295.232559479312,0.135446076551068
0.27707222213698,0.182319563514409,0.000606925696274355,5.95712924881796,0.682032051661058,0,3.98740050915819e-06,4.1357101317895e-05,0.0110519581388882,1.02636511741048e-05,0.000106416544820954,0,0.000308922337646623,5.12112728875707e-08,0.0785503502885355,6.47057057222474e-06,10.4460688932264,0.0849113011155503,0.885507701124838,0.470409337239486,0.102114560732959,0.1019298714079,0.084917616234021,0.0748037424539684,2.54752848702063e-05,0.0101075586615819,10.7319492282743,10.1921354529374,0.00951500594728209,0.0100008356323917,332.527992402604,295.368259901558,0.135700422246156
0.279991218085711,0.182654916623699,0.000607183357219631,5.83799189746165,0.670706218580027,0,4.59635776910688e-06,4.77238777491232e-05,0.0127335528624563,1.1813962504229e-05,0.000122642980065116,0,0.000353918209073009,5.4668173626408e-08,0.0899917428527739,6.91380147767471e-06,10.4635117568708,0.0973252741984478,1.01666651932913,0.47040240978011,0.102203798602793,0.102014819404891,0.097332021788336,0.0857012206411845,2.91996065365008e-05,0.0116240535572634,10.7595133917888,10.2005953748185,0.00949892387148207,0.0100008691312988,332.690302036637,295.504214291324,0.135954389765927
0.282841263462721,0.182983731179835,0.000607438581334033,5.70009075402105,0.657629112273287,0,5.29717914965338e-06,5.50634683598959e-05,0.0146791812215454,1.35981386673428e-05,0.000141349695258218,0,0.000405463878802309,5.83620295536645e-08,0.103091339458599,7.38771185451298e-06,10.4809471526863,0.11155426804331,1.1672493952003,0.470395485770398,0.102293429138302,0.102100369382826,0.111561478038774,0.0981789907314149,3.34684434116321e-05,0.0133752773118956,10.7869945999291,10.2091153730346,0.0094830333130022,0.0100009026886408,332.852904137372,295.640424741371,0.136210450047221
0.285611571010496,0.183305001248478,0.00060769106829797,5.54061509554943,0.642540137285122,0,6.10422703941285e-06,6.35297663157979e-05,0.0169325959118039,1.56529664415099e-05,0.000162931283665874,0,0.000464506694800816,6.23092370476075e-08,0.118085631997013,7.89441498788594e-06,10.4983733730189,0.127862353736977,1.34011857233534,0.470388564662107,0.102383436163516,0.102186499583199,0.12787005813829,0.112462772295108,3.83610174414871e-05,0.0153995814418695,10.8143916650734,10.2176932726889,0.00946733199003489,0.0100009363029458,333.015800065067,295.776891793262,0.136467051891044
0.288289813281105,0.183617579761374,0.000607940477372713,5.3564845412192,0.625157025791845,0,7.03425064464694e-06,7.33025014666773e-05,0.0195454703017588,1.80214003442678e-05,0.000187849161265215,0,0.000532128421418743,6.65273201937404e-08,0.135243453235855,8.43616629226577e-06,10.5157885107101,0.146551417887408,1.53855150332733,0.470381645876745,0.102473802142735,0.102273185776134,0.146559650896962,0.128809270271289,4.39678952690885e-05,0.0177421476161195,10.8417032535989,10.2263266520302,0.00945181764763016,0.0100009699725199,333.178992186531,295.913616845278,0.136725052015844
